Japanese,English,Correct,Incorrect,LastAsked
分かっていないみたいです。,Maybe you’re not getting it.,0,0,2025-01-22 23:31:44.000000
私だったら電車で行ったでしょう。,I would have taken the train.,0,0,2025-01-22 23:31:44.000000
彼は仕事で遅れてきた。（現れなかった）,He showed up late for work.,0,0,2025-01-22 23:31:44.000000
兄弟はいますか？,Do you hava any brothers or sisters?,0,0,2025-01-22 23:31:44.000000
私はいつあなたについて聞けるのですか？,So when am I going to hear about you?,0,0,2025-01-22 23:31:44.000000
ロマンティックな話に彼女は夢中でした。,The romantic story swept her off her feet.,1,0,2025-01-24 12:29:04.157125
私達は夜中スポーツについて話しました。,I talked about sports all evening.,0,1,2025-01-24 12:29:32.435593
彼は、悪くふるまってしまって謝りたいと行っていました。,He says he behaved badly and wanted to apologize.,0,1,2025-01-24 12:30:10.606273
それは、ホテルの近くの場所です。,It’s the place near the hotel.,0,1,2025-01-24 12:30:48.520263
時々、お客が美味しいチーズをどこで手に入れられるかを尋ねます。,Sometimes guests ask where to get good cheese.,0,1,2025-01-24 12:31:30.556581
あなたを紹介させてください。,Let me introduce you.,2,0,2025-01-24 12:32:00.946069
一緒に手伝ってくれる人を探しています。,I’m looking for someone to help me.,1,1,2025-01-24 12:32:34.057492
今夜時間ありますか？,Are you free tonight?,2,0,2025-01-24 12:32:50.972898
今日は少し体調不良です。,I’m a little under the weather today.,0,2,2025-01-24 12:33:33.387828
他にはなにかありますか？,What else?,0,2,2025-01-24 12:34:01.878744
はっきりと説明する必要がありますか？,Do I have to spell it out for you?,1,1,2025-01-24 12:34:27.536212
直接あって伝えたかったけど、今日は仕事がありました。,"I wanted to tell you in person,but I had some business today.",1,1,2025-01-24 12:35:55.086400
彼は、今夜出国します。,He’s leaving the country tonight.,0,2,2025-01-24 12:36:28.165902
あなたのバッグ素敵ですね。 / どこで買ったんですか？,I love your bag. / Where did you get it?,1,1,2025-01-24 12:36:52.815368
フードメーカーと呼ばれる場所がそれを売っています。,A place called Food Maker sells it.,1,1,2025-01-24 12:37:13.800255
光栄です。,I’m flattered.,1,2,2025-01-24 12:37:41.135708
どうぞよろしくおねがいします。,I’m looking forward to it.,3,0,2025-01-24 12:37:58.029432
もし良かったら、そのことについて話しましょう。,We can talk about it if you want.,3,0,2025-01-24 12:38:20.751592
言ってみてください,Just tell me.,3,0,2025-01-24 12:38:33.000418
音楽をかけてもいいですか？,Do you mind if I play some music?,3,0,2025-01-24 12:38:52.058884
彼女は仕事がうまくいった。,She had a good day at work.,0,3,2025-01-24 12:39:16.992981
お会いできて光栄です。,It’s a pleasure to meet you. / It’s an honor to meet you.,2,1,2025-01-24 12:39:44.084089
あなたのような人とミュージカルを一緒に見られるなんて光栄です。,It’s an honor to see a musical with someone like you.,1,1,2025-01-24 12:40:24.828648
ここがリビングスペースです,This is the living quarters.,0,2,2025-01-24 12:40:45.965781
A:なにを飲みますか？ / B:ジンジャーエールをください。,A:What do you want to drink? / B:I’ll take a ginger ale.,1,1,2025-01-24 12:41:11.757268
ビルは思っていたよりさらに変だ。,Bill is even weirder than I thought.,1,2,2025-01-24 12:41:50.165129
彼と出かけていました。,I went out with him.,1,2,2025-01-24 12:42:07.694478
彼との付き合いは長いのですか？,Have you known him long.,2,1,2025-01-24 12:42:25.058314
彼をパーティーに招待するなんて想像もできません。,I can’t imagine inviting him to a party.,2,1,2025-01-24 12:42:51.026388
何年も着物なんて着ていません。,I haven’t worn a kimono in years.,3,0,2025-01-24 12:43:10.717458
すべてうまくいきました。,Everything turned out fine.,1,2,2025-01-24 12:43:40.454703
私もです。(同じく）,I could say the same. / Same here. / I feel the same way.,0,3,2025-01-24 12:44:29.194449
どういうこと？ / 何が起きているの？ / どうしたの？ / 何が問題なの？,What’s going on?,0,2,2025-01-24 12:45:06.786117
空港に迎えに行きます,I’ll pick you up at the airport.,1,1,2025-01-24 12:45:28.450853
ようこそ、我が家へ,Welcome to my house.,2,0,2025-01-24 12:45:42.883594
それはどういう意味ですか？(気に障ったとき）,What ‘s that supposed to mean?,0,2,2025-01-24 00:44:13.146366
お似合いでしたでしょうね。(衣装),I bet it looked nice on you.,0,1,2025-01-23 14:25:01.127522
駅まで送ります。,I’ll drop you off at the station.,0,1,2025-01-23 14:25:37.190413
(レストランのやり取り） / A:他には何かありますか？ / B:以上です。,A:Anything else? / B:That’s all.,1,0,2025-01-23 14:25:55.803106
私が案内します。,I’ll show you around.,1,0,2025-01-23 14:27:13.599070
私が道案内します,I’ll show you.,0,1,2025-01-23 14:27:37.027377
君たちは気が合うと思います。,I think you guys will get along well.,1,1,2025-01-23 09:55:43.849076
すごく人気です。,That’s a huge hit.,1,1,2025-01-23 09:55:59.862736
なかなかチケットがとれません。,Tickets are almost impossible for me to get.,0,2,2025-01-23 09:56:38.224003
そうでなければ、私はそのことを知っていた,Otherwise I would have known that.,0,1,2025-01-23 08:16:43.412096
本当にそう思いますか？,Is that really what you think?,0,1,2025-01-23 08:17:06.051299
犬の洋服に300ドルも出した,I spent three hundred dollars on dog clothes.,1,1,2025-01-23 08:17:33.852672
少し気分が悪かった。,I felt a little sick.,0,1,2025-01-23 06:54:09.000000
誰がそんなことするんだろう,What kind of guy would do that?,0,1,2025-01-23 06:54:50.000000
きっと、彼女は気に入るでしょう。,I’m sure she’ll love it.,0,1,2025-01-23 06:55:08.000000
SNSは若い人々にとってより魅力的です。,SNS is more appealing to young people.,0,1,2025-01-23 06:55:38.000000
彼女は今機嫌がいいです。,She is in a good mood right now.,2,0,2025-01-23 06:56:01.000000
どういう意味ですか？,What does that mean?,1,1,2025-01-23 06:56:27.000000
とにかくビルは紳士のようにみえた。,Bill seemed like such a gentleman.,0,1,2025-01-23 06:49:34.000000
彼はその食事を見もしませんでした。,He didn’t even look at the meal.,0,1,2025-01-23 06:49:53.000000
誕生パーティーをするなんて変だと思っていた。,I thought it was weird to have a birthday party.,0,1,2025-01-23 06:50:17.000000
あなたは普段どのように週末を過ごしますか？,How do you usually like to spend your weekend?,0,2,2025-01-23 00:28:44.000000
何か気になることがありますか？,Is there something on your mind?,1,1,2025-01-23 00:28:59.000000
ほとんどあなただと分かりませんでした。,I hardly recognize you.,2,0,2025-01-23 00:29:20.000000
私はソーホーのあたりを散歩します。,I take a walk around SoHo.,1,0,2025-01-22 23:41:27.000000
料理長の新しいコースを試食します。,I try out new courses prepared by the head chef.,0,1,2025-01-22 23:42:11.000000
お忙しいと思いますが、こちらにサインをしていただけますか？,"I know you’re busy,but could I have your signature here?",0,1,2025-01-22 23:42:32.000000
JennyのEメールに返信していただけますか？,Could you reply to Jenny’s email?,1,0,2025-01-23 00:18:42.000000
行動を起こしなさい。,Make your move.,0,0,2025-01-22 23:31:44.000000
やっと分かってきましたね。,"Finally, you’re catching on.",0,0,2025-01-22 23:31:44.000000
(あなたは）お手上げです。（どうしようもない）。,You’re hopeless!,0,0,2025-01-22 23:31:44.000000
今がチャンスです。,Now’s your chance.,0,0,2025-01-22 23:31:44.000000
彼女をデートに誘うチャンスです。,It’s your chance to ask her out.,0,0,2025-01-22 23:31:44.000000
彼女がどんな顔をしていたか見ましたよね？,"You saw that look on her face,right?",0,0,2025-01-22 23:31:44.000000
それが私と何の関係があるんですか？,What does that have to do with me?,0,0,2025-01-22 23:31:44.000000
その２つの因果関係がわからない。,I don’t understand the relationship between these two things.,0,0,2025-01-22 23:31:44.000000
そんなことどうでもいいです。,Whatever.,0,0,2025-01-22 23:31:44.000000
待った甲斐がありました。,It was worth the wait.,0,0,2025-01-22 23:31:44.000000
どなたかに確認してほしい。,I’d like someone to check.,0,0,2025-01-22 23:31:44.000000
それでよろしいでしょうか。,Will that be OK?,0,0,2025-01-22 23:31:44.000000
他に何かございますか？,Will there be anything else?,0,0,2025-01-22 23:31:44.000000
事前に彼から指輪をお預かりしなくてはいけません。,We’ll need to get the ring from him before the dinner.,0,0,2025-01-22 23:31:44.000000
彼は、到着したらそちらに渡すと言っています。,He says he’ll give it to you on his arrival.,0,0,2025-01-22 23:31:44.000000
SNSでいい情報が見つかるかもしれません。,I might find some good info on social media.,0,0,2025-01-22 23:31:44.000000
まずは、「松の姫」でどうでしょう？,How about starting with “Matsu no Hime”?,0,0,2025-01-22 23:31:44.000000
何かヒットしましたか？,Did you get any hits?,0,0,2025-01-22 23:31:44.000000
そして「これは私が買ったものです」と言うのです。,And say “here’s what I bought!”,0,0,2025-01-22 23:31:44.000000
よろしければ、それについて奥様と相談していただければと。,Maybe you’d like to discuss it with your wife.,0,0,2025-01-22 23:31:44.000000
「松の姫」にぴったりのコース料理もあるそうです。,"Apparently,they have a course that pairs perfectly with “Matsu no Hime”.",0,0,2025-01-22 23:31:44.000000
レンデホテルから歩いて10分くらいです。,They’re about a ten-minute walk from The Rende Hotel.,0,0,2025-01-22 23:31:44.000000
少々お待ちください。,"One moment,please.",0,0,2025-01-22 23:31:44.000000
20日午後6時に2名様でお席をお取りしました。,I have booked a table for two at 6 P.M. on the 20th.,0,0,2025-01-22 23:31:44.000000
料理の予約もお願いできますか？,Could I also reserve our dinner choice?,0,0,2025-01-22 23:31:44.000000
A:2名で予約したいのですが。B:何時ですか？A:午後7時です。,A:I’d like to make a reservation for two people.B:For what time?A:For seven pm.,0,0,2025-01-22 23:31:44.000000
彼は申し訳ないと思っている。（反省している）,He feels bad.,0,0,2025-01-22 23:31:44.000000
つまり、あなたは彼の期待を裏切ろうとしている（がっかりさせる）,"In other words,you’re about to let him down.",0,0,2025-01-22 23:31:44.000000
彼はがっかりするでしょう。,He’ll be disappointed.,0,0,2025-01-22 23:31:44.000000
あなたは、それについて問題があると思いませんか？,You don’t see anything wrong with that?,0,0,2025-01-22 23:31:44.000000
とても申し訳ないと思っています。,I feel terrible about it.,0,0,2025-01-22 23:31:44.000000
あなたは彼の希望にあうレストランを見つけるのは不可能だと決めつけている。,You’ve decided it’s impossible to find the restaurant that he wants.,0,0,2025-01-22 23:31:44.000000
不可能に見えることの99%は、単なる思い込みである。,99% of things that seem impossible are just assumptions we make.,0,0,2025-01-22 23:31:44.000000
私は店を探します。なんとしてでも。,I’ll find the store.Whatever it takes.,0,0,2025-01-22 23:31:44.000000
（そのことを）頼むよ。,See that you do.,0,0,2025-01-22 23:31:44.000000
多分、あなたが日本人だからです,It’s probably because you’re Japanese.,0,0,2025-01-22 23:31:44.000000
どうしてだと思いますか？（なぜそうだったと思いますか？）,Why do you think that was?,0,0,2025-01-22 23:31:44.000000
どうしたらこんなことになると思う？,How do you think it happened?,0,0,2025-01-22 23:31:44.000000
これはなんだと思う？,What do you think it is?,0,0,2025-01-22 23:31:44.000000
彼はいつ到着すると思う？,When do you think he arrive?,0,0,2025-01-22 23:31:44.000000
彼は常連客です。,He is a frequent guest here.,0,0,2025-01-22 23:31:44.000000
彼は、私があなたの上司であることを知っているはずです。,He must know that I’m your supervisor.,0,0,2025-01-22 23:31:44.000000
確かにそうですね。,I suppose that’s true.,0,0,2025-01-22 23:31:44.000000
あなたならきっとなんとか見つけてくれると彼は期待したと思う。,I’m sure he expected you to find one somehow.,0,0,2025-01-22 23:31:44.000000
行き先を変えようかと考えている。,I’m thinking of changing our destination.,0,0,2025-01-22 23:31:44.000000
君はいつもギリギリまで待って行動する。,You always wait until the last minute.,0,0,2025-01-22 23:31:44.000000
旅行/ホテルの直前セール,Last minute travel / hotel deals,0,0,2025-01-22 23:31:44.000000
ちょっと話したいことがあるんだけど？,Can I talk to you something?,0,0,2025-01-22 23:31:44.000000
替わりの提案をしようかと考えています。,I’m thinking of proposing an alternative.,0,0,2025-01-22 23:31:44.000000
それでどうするつもりですか？,So what will you do?,0,0,2025-01-22 23:31:44.000000
無理でしたと伝えるよりいいと思います。,That would be better telling him I couldn’t find anything.,0,0,2025-01-22 23:31:44.000000
それについては、私は答えられません。,That’s not something I can answer.,0,0,2025-01-22 23:31:44.000000
何も思いつかないの？（案がない）,Don’t you have any suggestions?,0,0,2025-01-22 23:31:44.000000
この問題に関して一番知識のある人の意見にしがたうべきだ。,You should listen to whoever knows the most about this problem.,0,0,2025-01-22 23:31:44.000000
この件に関して5人の中で一番知識があるのは誰ですか？,Who among the five of us would know the most about that?,0,0,2025-01-22 23:31:44.000000
そういうことになる。,That’s what I mean.,0,0,2025-01-22 23:31:44.000000
接客業のことも飲食業のことも全くわかりません。,I know nothing about either the service / industry or the restaurant business.,0,0,2025-01-22 23:31:44.000000
私は音楽に詳しくありません。,I’m not expert on music. / I’m not familiar with music. / I’m not much about music.,0,0,2025-01-22 23:31:44.000000
私はあまり時間がありません。,I don’t have much time.,0,0,2025-01-22 23:31:44.000000
あなたは時間に余裕がありますよね。,"You have plenty of time,right?",0,0,2025-01-22 23:31:44.000000
彼は期待して待っていたとします。,Let’s say he keeps expecting to go.,0,0,2025-01-22 23:31:44.000000
その方がお客さんのためです。,That’s what’s best for the guest.,0,0,2025-01-22 23:31:44.000000
そうだからこそ、言っているのです。,That’s why I say that.,0,0,2025-01-22 23:31:44.000000
彼に条件を変えてもらったほうが良い,You get him to change the requirements.,0,0,2025-01-22 23:31:44.000000
できる範囲で最善の策を取るのが大事です。,The key thing is to take the best course of action available.,0,0,2025-01-22 23:31:44.000000
それが飲める店が良いというのがお客様のご希望です。,The guest wants a restaurant where he can drink it,0,0,2025-01-22 23:31:44.000000
「持ち込む」ってどういうこと？,What do you mean by “bring in”?,0,0,2025-01-22 23:31:44.000000
珍しいワインが手に入ったらレストランに持ち込む。,People get a rare wine and bring it into the restaurant.,0,0,2025-01-22 23:31:44.000000
日本酒の持ち込みはできますか？,Can people bring their own sake?,0,0,2025-01-22 23:31:44.000000
私が知る限りでは、ニューヨークの日本料理店でおいているところはないと思います。,"No Japanese food restaurants in New York have it,as far as I know.",0,0,2025-01-22 23:31:44.000000
そうなんですか？,Is that right?,0,0,2025-01-22 23:31:44.000000
駄目だったみたいね。,Looks like you had no luck.,0,0,2025-01-22 23:31:44.000000
（ひょっとして）今日空いている店をご存知ですか。,Do you know any of stores that are open today?,0,0,2025-01-22 23:31:44.000000
それは助かります。,That would be a lifesaver.,0,0,2025-01-22 23:31:44.000000
新しい企画はどうなっていますか？,How are things with the new project?,0,0,2025-01-22 23:31:44.000000
届け先はどちらですか？,Where should they be delivered to?,0,0,2025-01-22 23:31:44.000000
これはどうしても外せない。,That’s an absolute requirement.,0,0,2025-01-22 23:31:44.000000
カジュアルすぎるようなところはだめです。,Some place too casual won’t do.,0,0,2025-01-22 23:31:44.000000
落ち着いた雰囲気のレストランを探します。,I will find you a restaurant with a quiet atmosphere.,0,0,2025-01-22 23:31:44.000000
ここからあまり遠くないほうがよいです。,I’d like a place not too far from here.,0,0,2025-01-22 23:31:44.000000
私達は、食事のあとは、すぐに部屋に戻ってゆっくりしたい。,We’ll want to come back to our room right afterwards and relax.,0,0,2025-01-22 23:31:44.000000
タクシーで15分程度のところはいかがでしょうか。,How about a place fifteen minutes away by taxi?,0,0,2025-01-22 23:31:44.000000
ご希望を満たしていますでしょうか。,Would that be satisfactory?,0,0,2025-01-22 23:31:44.000000
あれこれ言って申し訳ありまえんが、私達にとっては本当に大切なことです。,"Sorry to put you to all this trouble,but it would really mean a lot to us.",0,0,2025-01-22 23:31:44.000000
荷物は今月の22日に届きます。,The package is arriving on the 22nd of this month.,0,0,2025-01-22 23:31:44.000000
ちょっと相談があります。,There’s something that I need your advice about.,0,0,2025-01-22 23:31:44.000000
おいしい料理と美味しい日本酒が楽しめる店に彼女を連れていきたい。,I want to take her somewhere with good food and good sake.,0,0,2025-01-22 23:31:44.000000
