Japanese,English,Correct,Incorrect,LastAsked
すごく好きな日本酒がある。,There’s one kind of sake I really like.,0,0,2025-01-22 23:31:44.000000
それに賛成です。,I agree with that.,0,0,2025-01-22 23:31:44.000000
あなたにはまだチャンスがあります。,You still have a chance.,0,0,2025-01-22 23:31:44.000000
ウェイターに頼もうか？,Should I ask the waiter?,0,0,2025-01-22 23:31:44.000000
先に聞いたほうがいいです。,We should ask first.,0,0,2025-01-22 23:31:44.000000
あなたのことばかり考えています。,All I can think about is you.,0,0,2025-01-22 23:31:44.000000
私以外の大勢の人にも、きっと同じことを行っていると思います。,I bet you say that to a lot of people beside me.,0,0,2025-01-22 23:31:44.000000
搭乗するにはまだ早すぎる。,It’s still too early to board.,0,0,2025-01-22 23:31:44.000000
電話を切ります。,I’m going to hang up.,0,0,2025-01-22 23:31:44.000000
電話の用件が無いようです。,It seems you have no reason for calling.,0,0,2025-01-22 23:31:44.000000
今頃君は、キッチンでコーヒーをいれているのではないですか。,You’re probably in your kitchen making coffee right now.,0,0,2025-01-22 23:31:44.000000
図星だったようだ。,Sounds like I guessed right.,0,0,2025-01-22 23:31:44.000000
私は運転を学ばなきゃいけない。,I need to learn to drive.,0,0,2025-01-22 23:31:44.000000
あなたは漢字を勉強しなくちゃいけないかも。,You might need to learn to read kanji.,0,0,2025-01-22 23:31:44.000000
もしかして、お風呂に入浴剤をいれましたか？,Did you by chance put bath salts in the bath?,0,0,2025-01-22 23:31:44.000000
私がそれらを使ってもいいと言いましたよね？,"You said I could use them,right?",0,0,2025-01-22 23:31:44.000000
夕飯に何を作っているのですか？,What are you making for dinner?,0,0,2025-01-22 23:31:44.000000
どうして出汁のような匂いがするの？,Why does it smell like soup?,0,0,2025-01-22 23:31:44.000000
まだ何も。,Nothing yet.,0,0,2025-01-22 23:31:44.000000
だから出てきました。,That’s why I came out.,0,0,2025-01-22 23:31:44.000000
この匂い、バスルームの方からすると思う。,I think the smell is coming from the bathroom.,0,0,2025-01-22 23:31:44.000000
出汁を作るためにそれをお湯に入れます。,You put it in hot water to make soup stock.,0,0,2025-01-22 23:31:44.000000
だから、あなたはいつも長風呂なんです。,So that’s why you always take such a long bath.,0,0,2025-01-22 23:31:44.000000
あなたはそれを試してみるべきです。,You should try it.,0,0,2025-01-22 23:31:44.000000
私は、ゆっくりお湯に浸かるのが好きです。,I love a long soak in hot water.,0,0,2025-01-22 23:31:44.000000
良いお風呂に入ると、疲れやストレスがなくなる。,A good bath takes away your tiredness and stress.,0,0,2025-01-22 23:31:44.000000
この黒いものは何？,What’s this black stuff?,0,0,2025-01-22 23:31:44.000000
それは聞いたことがありません。,I’ve never heard of that.,0,0,2025-01-22 23:31:44.000000
それを寿司と一緒に食べるんですよね?,"You eat that with sushi,right?",0,0,2025-01-22 23:31:44.000000
それは日本の海苔です。,It’s Japanese laver.,0,0,2025-01-22 23:31:44.000000
それは聞いたことない。,I’ve never heard of that.,0,0,2025-01-22 23:31:44.000000
袋に書いてある漢字はどういう意味？,What does the kanji on the bag mean?,0,0,2025-01-22 23:31:44.000000
のりと書いてある。,It says “nori”.,0,0,2025-01-22 23:31:44.000000
それと一緒にいろんなものを食べる。,We eat it with a lot of things.,0,0,2025-01-22 23:31:44.000000
私が読める漢字は「秋葉原」という漢字だけです。,The only kanji I can read is “Akihabara”.,0,0,2025-01-22 23:31:44.000000
成人式以来ですか？,Is it since your Coming of Age Day ceremony?,0,0,2025-01-22 23:31:44.000000
私はそれに何も関係ない。,I don’t have anything to do with it.,0,0,2025-01-22 23:31:44.000000
それは、嘘をついているときの君のクセだ。,That’s what you always do when you’re lying.,0,0,2025-01-22 23:31:44.000000
単刀直入に聞きます,I’m just going to come right out and ask.,0,0,2025-01-22 23:31:44.000000
他にすべきことが分かりませんでした。,I didn’t know what else to do.,0,0,2025-01-22 23:31:44.000000
彼女は一つのことに夢中になると、他が見えなくなる。,"When she gets into one thing,she loses sights of everything else.",0,0,2025-01-22 23:31:44.000000
同じ屋根の下で暮らしていれば、すぐにわかる,Just things I learned quickly living under the same roof with her.,0,0,2025-01-22 23:31:44.000000
A:メリッサの指導についていけるだけのことはあるね。 / B:いいえ、私などまだまだです。,"A:It’s impressive that you can keep up with Melissa’s instructions. / B:No,I still have a lot to learn.",0,0,2025-01-22 23:31:44.000000
君は、きっと、彼女に負けないくらいのコンシェルジュになれるよ。,I bet you will become every bit as good a concierge as she.,0,0,2025-01-22 23:31:44.000000
私について何も話すことはありません。,There’s nothing interesting to say about me.,0,0,2025-01-22 23:31:44.000000
彼が私のことをかばってくれた。,He stood up for me.,0,0,2025-01-22 23:31:44.000000
私がカレをふったんです。,I stood him up.,0,0,2025-01-22 23:31:44.000000
あなたたちと暮らせて私はラッキーです。,I’m luckey to live with you guys.,0,0,2025-01-22 23:31:44.000000
そう言ってくれてありがとうございます。,I appreciate you saying that.,0,0,2025-01-22 23:31:44.000000
私がしたのは君が寝ていると彼に伝えただけだ。,All I did was tell him you were asleep.,0,0,2025-01-22 23:31:44.000000
私は埋め合わせをしたかった。,I wanted to make it up to you.,0,0,2025-01-22 23:31:44.000000
お互いに面倒をみる必要がある。,We need to look out for one another.,0,0,2025-01-22 23:31:44.000000
彼はアニメのDVDをたくさん持っていった。,He took a bunch of anime DVDs.,0,0,2025-01-22 23:31:44.000000
彼は、ロンドンに向かう途中でそれを見られる。,He can watch them on the way to London.,0,0,2025-01-22 23:31:44.000000
しばらくあっていない。,I haven’t see you for a while.,0,0,2025-01-22 23:31:44.000000
お客様を連れてくるには少し遅い時間です。,It’s a little late to have guests over.,0,0,2025-01-22 23:31:44.000000
こんな時間に失礼だとは思った。,I did think this wasn’t a great time.,0,0,2025-01-22 23:31:44.000000
質問していいですか？,Can I ask you some things?,0,0,2025-01-22 23:31:44.000000
３歳年下の妹がいます。,I have a sister three years younger than me.,0,0,2025-01-22 23:31:44.000000
私の父は公務員で、母は専業主婦です。,My father works for the city and my mother is a homemaker.,0,0,2025-01-22 23:31:44.000000
どこで育ったのですか？,Where did you grow up?,0,0,2025-01-22 23:31:44.000000
私は生まれも育ちも横浜です。,I was born and raised in Yokohama.,0,0,2025-01-22 23:31:44.000000
あなたは、子供のときどんなでしたか？,What were you like as a kid?,0,0,2025-01-22 23:31:44.000000
10月にはきれいな紅葉を楽しめます。,"In October,you can enjoy the beautiful autumn leaves.",0,0,2025-01-22 23:31:44.000000
桜の木の下に座って、ピクニックをします。,We sit underneath the cherry blossoms and have a picnic.,0,0,2025-01-22 23:31:44.000000
以前、春と秋に日本へ行きました。,I’ve been to Japan in the spring and fall.,0,0,2025-01-22 23:31:44.000000
それらはライトアップされて、幻想的です。,They’re lit up with lights and look magical.,0,0,2025-01-22 23:31:44.000000
どこがおすすめですか？,Where do you recommend?,0,0,2025-01-22 23:31:44.000000
今度日本に行ったら、温泉に入ってみます。,"The next time I go to Japan,I’m going  to try an onsen.",0,0,2025-01-22 23:31:44.000000
日本には温泉がたくさんあります。,There are lots of onsen in Japan.,0,0,2025-01-22 23:31:44.000000
全国各地にあります。,They’re all over.,0,0,2025-01-22 23:31:44.000000
東京から近いところだと、箱根がおすすめです。,Hakone is a good place close to Tokyo.,0,0,2025-01-22 23:31:44.000000
温泉は大勢で同時に入ります。,Lots of people get into the baths at the same time.,0,0,2025-01-22 23:31:44.000000
日本についてよく知っていますね。,You really know a lot about Japan.,0,0,2025-01-22 23:31:44.000000
私はオペラについてはよく知りません。,I don’t really know a lot about opera.,0,0,2025-01-22 23:31:44.000000
どうしてそんなことをするのですか？,Why is that done?,0,0,2025-01-22 23:31:44.000000
そういう決まりなんですね。,"That’s are rule, right?",0,0,2025-01-22 23:31:44.000000
調理用の塩は使いません。,No table salt is used.,0,0,2025-01-22 23:31:44.000000
商売繁盛には黄色の皿がいいそうです。,A yellow plate is supposed to be good for business prosperity.,0,0,2025-01-22 23:31:44.000000
最後にもう一つ質問していいですか？,Can I ask you one last question?,0,0,2025-01-22 23:31:44.000000
お願いしてもいいですか？,Can I ask you a favor?,0,0,2025-01-22 23:31:44.000000
あなたはなぜコンシェルジュになりたかったのですか？,Why did you want to become a concierge?,0,0,2025-01-22 23:31:44.000000
どんなきっかけで日本に来たの？,What made you decide to come to Japan?,0,0,2025-01-22 23:31:44.000000
海外支社のある会社ばかり受けました。,I only applied to companies with offices overseas.,0,0,2025-01-22 23:31:44.000000
お荷物はおまかせください。,Let me take care of your bags.,0,0,2025-01-22 23:31:44.000000
英語を使える仕事をしたいと思った。,I wanted a job where I could speak it.,0,0,2025-01-22 23:31:44.000000
そのホテルしか受からなかった。,The hotel was the only place whose tests I passed.,0,0,2025-01-22 23:31:44.000000
このケーキをとっておいたよ。,I saved this cake for you.,0,0,2025-01-22 23:31:44.000000
あとのためにとっておきましょう,Let’s save this for later.,0,0,2025-01-22 23:31:44.000000
楽しめましたか？,Did you have fun?,0,0,2025-01-22 23:31:44.000000
本当に素晴らしいクルーザーだった。,It was a seriously impressive boat.,0,0,2025-01-22 23:31:44.000000
これは君の分だ,This is your portion.,0,0,2025-01-22 23:31:44.000000
アランは案外、気が利く。,Alan can be surprisingly thoughtful.,0,0,2025-01-22 23:31:44.000000
Yシャツを来たほうが良いですか？,Should I wear a dress shirt?,0,0,2025-01-22 23:31:44.000000
今朝、チェックアウトをしたのですが、スカーフをなくしたようです。,"I checked out this morning,but it seems I’ve lost my scarf.",0,0,2025-01-22 23:31:44.000000
お調べいたします。,I’ll look into it.,0,0,2025-01-22 23:31:44.000000
部屋を出た後、どこかに行きましたか？,Did you go anywhere after you left the room?,0,0,2025-01-22 23:31:44.000000
落とし物はどこで扱っていますか？,Where’s the lost and found?,0,0,2025-01-22 23:31:44.000000
一点確認させてください。,But let me make sure of one thing.,0,0,2025-01-22 23:31:44.000000
他の特徴は何かありますか？,Any other characteristics?,0,0,2025-01-22 23:31:44.000000
お乗りになったタクシー会社はわかりますか？,Do you know what taxi company you used?,0,0,2025-01-22 23:31:44.000000
A:レシートはお持ちですか？ / B：はい、もらいました。,"A：Do you have your receipt? / B：Yes, I have that.",0,0,2025-01-22 23:31:44.000000
何年も使っているから、端が少しほつれています。,"I’ve used it for many years, so the edges are somewhat frayed.",0,0,2025-01-22 23:31:44.000000
身分証明書の写真を撮りました。,I took a picture of my ID,0,0,2025-01-22 23:31:44.000000
もう一度思い出してください。,Try one more time to remember.,0,0,2025-01-22 23:31:44.000000
タクシーに乗る前に確かにどこにも寄りませんでしたか？,Are you sure you didn’t go anywhere else before getting the taxi?,0,0,2025-01-22 23:31:44.000000
何が起きたか順を追って説明してください。,Can you walk me through what happened?,0,0,2025-01-22 23:31:44.000000
タクシー会社と話しました。,I spoke with the taxi company.,0,0,2025-01-22 23:31:44.000000
ドライバーによると、どうやらあなたはスカーフをしていなかったようです。,Apparently the driver said that you were not wearing a scarf.,0,0,2025-01-22 23:31:44.000000
ドライバーは他の客と間違えています。,The driver must be confusing me with another passenger.,0,0,2025-01-22 23:31:44.000000
諦めるしかなさそうです。,I guess I just have to give up.,0,0,2025-01-22 23:31:44.000000
試着はできますか？,Can I try it on?,0,0,2025-01-22 23:31:44.000000
着物をレンタルしたいです,I’d like to rent a kimono.,0,0,2025-01-22 23:31:44.000000
もう少し、花の模様が小さいものはありませんか？,Do you have any patterns witth slightly smallerr flowers?,0,0,2025-01-22 23:31:44.000000
赤い着物は少し派手ではないですか？,Wouldn’t a red kimono be a little loud?,0,0,2025-01-22 23:31:44.000000
パーティーにはぴったりだと思います。,I think it would be perfect for a patrry.,0,0,2025-01-22 23:31:44.000000
ヘアメイクもお願いできますか？,Could I also get my hair and makeup done?,0,0,2025-01-22 23:31:44.000000
キャベツの千切りは私の得意技です,Cutting the cabbage into strips is my specialty.,0,0,2025-01-22 23:31:44.000000
火曜日が弊社の定休日です,Tuesday is our day off.,0,0,2025-01-22 23:31:44.000000
あなたの休暇はいつですか？,When is your day off?,0,0,2025-01-22 23:31:44.000000
今日は仕事が休みです,It’s my day off.,0,0,2025-01-22 23:31:44.000000
仕事で問題があるのですか,Are you having trouble at work?,0,0,2025-01-22 23:31:44.000000
大丈夫です,That’s fine.,0,0,2025-01-22 23:31:44.000000
よろしければ、他の店をご案内いたします。,"If you’d like,I could recommend another one.",0,0,2025-01-22 23:31:44.000000
お求めの指輪がその店にあるか確認しましょう。,Let’s make sure they have the ring you want.,0,0,2025-01-22 23:31:44.000000
あなたは今日食堂で食べますか？,Are you eating at the cafeteria today?,0,0,2025-01-22 23:31:44.000000
あなた（たち）とご一緒しても良いですか,Can I join you?,0,0,2025-01-22 23:31:44.000000
決められません,I can’t decide,0,0,2025-01-22 23:31:44.000000
何に使うのですか？,What are you going to use it for?,0,0,2025-01-22 23:31:44.000000
キャベツが済んだら、豆腐を切ってくれますか,Could you cut the tofu after you finish with the cabbage?,0,0,2025-01-22 23:31:44.000000
ごはんの用意ができたよ,The food is ready.,0,0,2025-01-22 23:31:44.000000
夕食の用意ができたよ,The dinner is ready.,0,0,2025-01-22 23:31:44.000000
気にしないで,Never mind.,0,0,2025-01-22 23:31:44.000000
私は構いませんよ,I don’t mind.,0,0,2025-01-22 23:31:44.000000
いつでも遠慮なくメールしてください。,Please feel free to email anytime.,0,0,2025-01-23 23:31:44.000000
きっとお似合いになりますよ。,I bet it would look good on you.,0,0,2025-01-23 23:31:44.000000
ご自由にどうぞ。,Be my guest.,0,0,2025-01-23 23:31:44.000000
もう少し見て（回って）からにします。,I’m going to look around a bit more first.,0,0,2025-01-23 23:31:44.000000
想像より（価格の）0の数が一つ多かった。,There was one more zero than I expected.,0,0,2025-01-23 23:31:44.000000
きっといつか私も買う余裕ができるようになると思うけど、今じゃない。,"Maybe one day I’ll be able to afford it ,but not right now.",0,0,2025-01-23 23:31:44.000000
AFAIKはAs Far As I knowの略です。,AFAIK stands for As Far As I know.,0,0,2025-01-23 23:31:44.000000
ソーホーはなにの略かしっていますか？,Do you know what SoHo stands for?,0,0,2025-01-23 23:31:44.000000
入りたい店があったら言ってください。,Let me know If you want to go into any of them.,0,0,2025-01-23 23:31:44.000000
どの店も個性的なのが面白い,Interesting how all the shops have their own character.,0,0,2025-01-23 23:31:44.000000
行ってみよう（調べてみましょう）,Let’s check it out.,0,0,2025-01-23 23:31:44.000000
気分添加員になるでしょう,It would be a change of pace.,0,0,2025-01-23 23:31:44.000000
私はその日休みです。,I’m off that day.,0,0,2025-01-23 23:31:44.000000
私は今月23日に行く予定です。,I’m planning on going on the 23rd of this month.,0,0,2025-01-23 23:31:44.000000
職場から近いのに、この辺りを歩いたことがなかった。,"Even though it’s close to my work,I’ve never walked around here.",0,0,2025-01-25 12:31:44.000000
それはもったいない。,That’s a shame.,0,0,2025-01-25 12:31:44.000000
ここはピクニックや日光浴に最適です。,This is a great place for a picnic or sunbathing.,0,0,2025-01-25 12:31:44.000000
私もジョギングを始めようかな,Maybe I should start jogging.,0,0,2025-01-25 12:31:44.000000
どうして？,Why not?,0,0,2025-01-25 12:31:44.000000
私達のアパートがどこにあるか考えてください。,Think about where out apartment is.,0,0,2025-01-25 12:31:44.000000
あなたは寝坊しがちだから、うまくいかないだろう。,That wouldn’t work since you usually get up so late.,0,0,2025-01-25 12:31:44.000000
ちょっとお腹が空いてきた。,I’m getting a bit hungry.,0,0,2025-01-25 12:31:44.000000
試食会まで、まだちょっと時間が有ります。,We still have some time before the food tasting.,0,0,2025-01-25 12:31:44.000000
後で私に感謝するさ,You’ll thank me later.,0,0,2025-01-25 12:31:44.000000
「こんなに美味しい料理が待っていたのに、ホットドッグなんか食べなきゃよかった」と言わずに済む。,You won’t have to say “why did I have that hot dog when such good food waiting for me!”.,0,0,2025-01-25 12:31:44.000000
芝生の上に寝転がると気持ちいい。,it feels so good to  roll around on the grass.,0,0,2025-01-25 12:31:44.000000
